gene,papillary 1,reticular 1, papillary 2, reticular 2, papillary 3, reticular 3
PARGP1,0.0328748633468,0.100525353694,0.0662934937685,0.0692323962354,0.105724933464,0.0834191118946
PARK2,0.0635955216939,0.046415844472,0.273854834427,0.0555787325025,0.0399414399122,0.0614912139877
PARK7,8.02759086044,6.30562821667,5.38761513332,8.5174641247,5.83607843246,6.01319873362
PARL,0.359272630358,0.542735156976,0.606560402645,0.462898137711,0.341279376054,0.446961027499
PARM1,0.604761758878,0.615446618027,0.458836579954,0.36651355793,0.590337522633,0.466800472804
PARN,0.388653867737,0.494406297754,0.530111288648,0.413243317376,0.538531796423,0.578512448
PARP1,0.827673688331,0.83093325945,0.502000449766,0.649894601407,0.733555056784,0.676888238811
PARP10,0.0203756011396,0.0244814609323,0.0202691971642,0.032980745119,0.0402054531261,0.00837239763738
PARP11,0.327706725265,0.430679189173,0.291581381231,0.311264756592,0.28234309614,0.255218941245
PARP12,0.27054103144,0.39261577765,0.34116695517,0.242053500798,0.258649886501,0.237585923804
PARP14,1.15557297848,1.18353438586,0.803078514958,0.798026158523,0.82601783274,0.642980331368
PARP15,0.0251299080721,0.0604750374221,0.149845374035,0.0774821614783,0.0201501834246,0.00869519419186
PARP16,0.0512879367786,0.190209277492,0.183006103117,0.127449874618,0.151676721134,0.156579139891
PARP2,0.745821788559,1.14361431265,0.88774974958,0.888708250272,0.976809380802,0.898438030549
PARP3,0.140925997943,0.367516162313,0.335961942996,0.228068785154,0.356064487153,0.237975167863
PARP4,1.95984563068,1.7104810204,1.13826782075,1.38991641772,1.4551087305,1.10774458617
PARP6,0.85428355929,0.737609534124,0.958324416055,0.699542084369,0.840812727962,0.705744207818
PARP8,0.650796700398,0.586835019407,0.479467858918,0.310468396258,0.334440228154,0.321233414145
PARP9,1.35308322731,0.9132412202,0.752098934775,1.11801661773,0.772203065167,0.728627433311
PARPBP,0.114244428236,0.154256487872,0.186369421041,0.12961768779,0.0974982968414,0.112393293403
PARS2,0.00848915254805,0.0856397376813,0.0928133076598,0.0574311515088,0.126094412071,0.0848144136467
PART1,0.0182589458651,0.00800795451057,0.0963806187071,0.360563676456,0.600991380014,0.624929968906
PARVA,0.514431442875,0.468669063738,0.44693579747,0.390183834295,0.548782550909,0.459804690835
PARVB,0.24809100735,0.244766111976,0.433396230743,0.563556156827,0.204576778839,0.307929808105
PARVG,0.464164184391,0.384367618006,0.251048484876,0.288005815204,0.194439136612,0.142121449895
PASD1,0.0485235679502,0.0,0.0973289251732,0.0,0.010820164439,0.0429797234947
PASK,0.0652351899342,0.110778610719,0.127695942134,0.0530854459108,0.0604781132191,0.040128409382
PATE1,0.0,0.0,0.0,0.0,0.0,0.0
PATE2,0.0,0.0,0.0270925021186,0.00103739173873,0.00030733967496,0.0
PATE3,0.0,0.0,0.0235320435369,0.0,0.0,0.0
PATE4,0.00331083338947,0.0,0.0268566862425,0.0,0.0,0.0
PATL1,0.354934821611,0.219165470913,0.44830086585,0.188378445885,0.319888133799,0.224833951124
PATL2,0.0812943739452,0.107574786877,0.144270438553,0.0864857112711,0.0882484069414,0.0364572414947
PATZ1,0.13710410311,0.108974526316,0.175343285991,0.110344705456,0.239166700359,0.151541127388
PAUPAR,0.0,0.0,0.0,0.0,0.00086056958483,0.0
PAWR,0.133416966492,0.216177089567,0.334041162657,0.523691434448,0.420724317128,0.5010796262
PAX1,0.0199634097476,0.0448447380189,0.0583053120473,0.00295823878855,0.0298672589621,0.0138609212366
PAX2,0.0,0.0,0.05439097646,0.0,0.00511285661431,0.0406533449698
PAX3,0.300765320821,0.285522154827,0.272604355731,0.203653737087,0.20692604316,0.149313137721
PAX4,0.0124233770892,0.001672230938,0.0103372905537,0.003308196606,0.0,0.014383375652
PAX5,0.0180753676133,0.05104434162,0.274300911623,0.0209561531157,0.00466652734384,0.00590338758187
PAX6,0.0276957735903,0.0190558999773,0.0351612221254,0.0655022927987,0.0390404761334,0.0457741812647
PAX7,0.0223444242858,0.0,0.0931193177411,0.0340910639004,0.0307889358447,0.00575390485403
PAX8,0.0564566230211,0.0554888534686,0.10415603361,0.0974393767688,0.0118958533014,0.0257702147098
PAX8-AS1,0.43156104046,0.102254882553,0.198671644564,0.501120350263,0.0884132905982,0.0562708504867
PAX9,0.0329203357579,0.0201793272601,0.0155214572879,0.00641520798024,0.0156213165506,0.00402780491932
PAXBP1,0.293510447266,0.378870351041,0.387648395765,0.488372382463,0.47310423259,0.392906844969
PAXBP1-AS1,0.248570690702,0.217491550247,0.285383057073,0.373618272691,0.406642931821,0.385149129214
PAXIP1,0.636385005369,0.657939262556,0.538605654645,0.478554269033,0.669385812064,0.635887952548
PAXIP1-AS1,0.0462894898491,0.0753793991938,0.0564545337264,0.041033109534,0.0397870303033,0.0666612806815
PAXIP1OS,0.678075994274,0.555804379773,0.46614237441,0.59635465093,0.644382016067,0.566939400382
PBDC1,2.00365569169,1.50649693286,1.98863627027,2.11739716024,1.56354062382,2.04450115948
PBK,0.0338673838018,0.0227552040717,0.095752466988,0.201605954511,0.0948975676222,0.0771232483344
PBLD,0.317998045063,0.163953533935,0.269379741687,0.236484366757,0.169880962326,0.282762468019
